Company,Gründer,Link
&effect data solutions GmbH,,https://www.linkedin.com/company/and-effect/
&effect data solutions GmbH,Johannes Müller,https://www.linkedin.com/in/johannes-j-müller-757511101/
&effect data solutions GmbH,Jan Kamb,https://www.linkedin.com/in/jan-kamb-4937bbb6/
&effect data solutions GmbH,Jan Peter Dix,https://www.linkedin.com/in/jan-dix-30550314a/
1000°DIGITAL GmbH,,https://www.linkedin.com/company/1000digital/
1000°DIGITAL GmbH,Patrick Andreas Theis,https://www.linkedin.com/company/1000digital/
1000°DIGITAL GmbH,Philipp Päuser,
1648 Factory,,https://www.linkedin.com/company/1648factory/about/
1648 Factory,Klaus Karl Freiberg,
1648 Factory,Sebastian Hanhues,
L21s,,https://www.linkedin.com/company/l21s/
L21s,Tobias Larscheid,
L21s,Jan Schmitz-Hermes,
FÜNF PROZENT,,https://www.linkedin.com/company/5-prozent/
FÜNF PROZENT,Sally Köhler,
FÜNF PROZENT,Sarina Hötzel,
FÜNF PROZENT,Matthias Schöttler,
Abcalis GmbH,,https://www.linkedin.com/company/abcalis/
Abcalis GmbH,Pascal Milfeit,
Abcalis GmbH,Laila Al-Halabi-Frenzel,https://www.linkedin.com/in/laila-al-halabi-frenzel-749a59199/
academa.de,,https://www.linkedin.com/company/academa-gmbh/
academa.de,Luis Hesemann,https://www.linkedin.com/in/luishesemann/
academa.de,Malte Brettel,https://www.linkedin.com/in/maltebrettel/
academa.de,Andrea Sarah Greven,
academa.de,Patrick Neubert,https://www.linkedin.com/in/patrickneubert-4/
Silberdraht,,https://www.linkedin.com/company/silberdrahttelefon/
Silberdraht,Susanne Steigler,https://www.linkedin.com/in/susannesteigler/
Silberdraht,Niklas Droste,
Silberdraht,Theresa Henze,https://linkedin.com/in/theresahenze/
Silberdraht,Daniel Puscher,https://www.linkedin.com/in/puscher/
Accu:rate,,https://www.linkedin.com/company/accu-rate/
Accu:rate,Florian Kai Daniel Sesser,
Accu:rate,Angelika Brigitte Hildegard Kneidl,https://www.linkedin.com/in/angelika-kneidl/
AdaLab,,https://www.linkedin.com/products/adamatics-adalab/
AdaLab,Angelie Kraft,https://www.linkedin.com/in/angelie-kraft/
AdaLab,Anton Orell Wiehe,https://www.linkedin.com/in/antonwiehe/
AdaLab,Anton Volkov,
AdaLab,Florian Woeste,https://www.linkedin.com/in/florian-woeste-1a6aabb4/
LiquidDemocracy e.V.,,https://www.linkedin.com/company/liquid-democracy/
LiquidDemocracy e.V.,Moritz Ritter,https://www.linkedin.com/in/moritz-ritter-365a7b96/
admi,,https://www.linkedin.com/company/admi-kommunal-gmbh/
admi,Paul Johann Fritz Thiekötter,https://www.linkedin.com/in/paul-thiekoetter/
admi,Freddi Lange,https://www.linkedin.com/in/freddi-lange/
AGVOLUTION,,https://www.linkedin.com/company/agvolution/
AGVOLUTION,Lukas Kamm,https://www.linkedin.com/in/lukas-kamm-004725202/
AGVOLUTION,Sebastian Jerratsch,https://www.linkedin.com/in/sebastian-jerratsch/
AGVOLUTION,Thomas Meier,https://www.linkedin.com/in/thomas-maier-8b0211150/
AGVOLUTION,Andreas Walter Heckmann,https://www.linkedin.com/in/ahclimatesmartagvolution/
aible solutions,,https://www.linkedin.com/company/aible-ai-and-machine-learning-solutions/
aible solutions,Richard Bredow,https://www.linkedin.com/in/richard-bredow-3b0719160/
aible solutions,Max von Braun,https://www.linkedin.com/in/max-von-braun-b69ba348/
aiconix GmbH,,https://www.linkedin.com/company/aiconix/
aiconix GmbH,Eugen Lukas Gross,https://www.linkedin.com/in/eugenlgross/
Aivot,,https://www.linkedin.com/company/aivot-digital/
Aivot,Jan-Philipp Schroeder,https://www.linkedin.com/in/jan-philipp-schroeder/
LangTec,,https://www.linkedin.com/company/langtec/
LangTec,Christian Lang,
Aleph Alpha,,https://www.linkedin.com/company/aleph-alpha/
Aleph Alpha,Samuel Weinbach,https://www.linkedin.com/in/samuel-weinbach/
Aleph Alpha,Raphael Martin,
Amberscript,,https://www.linkedin.com/company/amberscript/
Ankaadia,,https://www.linkedin.com/company/ankaadia/
